datetime,write_latency,read_latency,total_messages_read,write_latency,total_messages_written,read_minus_write_latency,latency_per_message
2025-07-01 18:57:45,0.000363,35.312008,524,0.000363,2734,35.311645,0.067388
2025-07-01 18:58:18,0.000402,7.932862,511,0.000402,2766,7.932460,0.015524
2025-07-01 18:59:17,0.000383,7.163030,508,0.000383,2520,7.162647,0.014100
2025-07-01 19:00:20,0.000399,9.747904,552,0.000399,2716,9.747505,0.017659
2025-07-01 19:01:16,0.000381,5.915565,582,0.000381,3066,5.915184,0.010164
2025-07-01 19:02:17,0.000401,8.734621,565,0.000401,2295,8.734220,0.015459
2025-07-01 19:03:16,0.000415,3.441550,522,0.000415,2733,3.441135,0.006593
2025-07-01 19:04:14,0.000432,3.780592,533,0.000432,1788,3.780160,0.007093
2025-07-01 19:05:15,0.000432,7.352833,514,0.000432,2769,7.352401,0.014305
2025-07-01 19:06:13,0.000389,2.888889,521,0.000389,2799,2.888500,0.005545
2025-07-01 19:07:13,0.000367,3.439527,538,0.000367,2865,3.439160,0.006393
2025-07-01 19:08:16,0.000464,5.836468,550,0.000464,2767,5.836004,0.010612
2025-07-01 19:09:13,0.000452,3.690658,521,0.000452,2800,3.690206,0.007084
2025-07-01 19:10:13,0.000340,3.873519,528,0.000340,2907,3.873179,0.007336
2025-07-01 19:11:13,0.000489,3.117303,558,0.000489,2920,3.116814,0.005587
2025-07-01 19:12:12,0.000671,3.410393,554,0.000671,2751,3.409722,0.006156
2025-07-01 19:13:13,0.000000,3.616477,523,0.000000,0,3.616477,0.006915
2025-07-01 19:14:15,0.000000,4.771473,557,0.000000,0,4.771473,0.008566
